enssscg_id	display_name	biotype
ENSSSCG00000000002	GTSE1	protein_coding
ENSSSCG00000000003	TTC38	protein_coding
ENSSSCG00000000005	CDPF1	protein_coding
ENSSSCG00000000006	PPARA	protein_coding
ENSSSCG00000000007	TRMU	protein_coding
ENSSSCG00000000010	FBLN1	protein_coding
ENSSSCG00000000014	FAM118A	protein_coding
ENSSSCG00000000018	KIAA0930	protein_coding
ENSSSCG00000000019	NUP50	protein_coding
ENSSSCG00000000020	PHF21B	protein_coding
ENSSSCG00000000021	NULL	protein_coding
ENSSSCG00000000022	RTL6	protein_coding
ENSSSCG00000000024	PARVB	protein_coding
ENSSSCG00000000025	PARVG	protein_coding
ENSSSCG00000000026	SULT4A1	protein_coding
ENSSSCG00000000028	NULL	protein_coding
ENSSSCG00000000029	SCUBE1	protein_coding
ENSSSCG00000000031	MCAT	protein_coding
ENSSSCG00000000033	TSPO	protein_coding
ENSSSCG00000000034	TTLL12	protein_coding
ENSSSCG00000000035	TTLL1	protein_coding
ENSSSCG00000000036	PACSIN2	protein_coding
ENSSSCG00000000037	ARFGAP3	protein_coding
ENSSSCG00000000038	CYB5R3	protein_coding
ENSSSCG00000000039	POLDIP3	protein_coding
ENSSSCG00000000040	SEPT3	protein_coding
ENSSSCG00000000045	NDUFA6	protein_coding
ENSSSCG00000000046	CYP2D25	protein_coding
ENSSSCG00000000050	NAGA	protein_coding
ENSSSCG00000000057	C22orf46	protein_coding
ENSSSCG00000000058	SNU13	protein_coding
ENSSSCG00000000059	XRCC6	protein_coding
ENSSSCG00000000061	PMM1	protein_coding
ENSSSCG00000000062	CSDC2	protein_coding
ENSSSCG00000000063	POLR3H	protein_coding
ENSSSCG00000000064	ACO2	protein_coding
ENSSSCG00000000066	L3MBTL2	protein_coding
ENSSSCG00000000067	CHADL	protein_coding
ENSSSCG00000000068	EP300	protein_coding
ENSSSCG00000000071	NULL	protein_coding
ENSSSCG00000000072	SLC25A17	protein_coding
ENSSSCG00000000073	NULL	protein_coding
ENSSSCG00000000074	MCHR1	protein_coding
ENSSSCG00000000075	MKL1	protein_coding
ENSSSCG00000000076	SGSM3	protein_coding
ENSSSCG00000000077	ADSL	protein_coding
ENSSSCG00000000078	TNRC6B	protein_coding
ENSSSCG00000000079	FAM83F	protein_coding
ENSSSCG00000000080	GRAP2	protein_coding
ENSSSCG00000000081	NULL	protein_coding
ENSSSCG00000000082	CACNA1I	protein_coding
ENSSSCG00000000083	RPS19BP1	protein_coding
ENSSSCG00000000084	ATF4	protein_coding
ENSSSCG00000000087	TAB1	protein_coding
ENSSSCG00000000089	NULL	protein_coding
ENSSSCG00000000090	CBX7	protein_coding
ENSSSCG00000000091	APOBEC3B	protein_coding
ENSSSCG00000000092	NPTXR	protein_coding
ENSSSCG00000000093	DNAL4	protein_coding
ENSSSCG00000000094	SUN2	protein_coding
ENSSSCG00000000095	GTPBP1	protein_coding
ENSSSCG00000000097	NULL	protein_coding
ENSSSCG00000000103	DMC1	protein_coding
ENSSSCG00000000104	DDX17	protein_coding
ENSSSCG00000000105	KDELR3	protein_coding
ENSSSCG00000000106	KCNJ4	protein_coding
ENSSSCG00000000107	NULL	protein_coding
ENSSSCG00000000108	TMEM184B	protein_coding
ENSSSCG00000000110	PLA2G6	protein_coding
ENSSSCG00000000111	BAIAP2L2	protein_coding
ENSSSCG00000000113	SLC16A8	protein_coding
ENSSSCG00000000114	PICK1	protein_coding
ENSSSCG00000000116	POLR2F	protein_coding
ENSSSCG00000000117	C22orf23	protein_coding
ENSSSCG00000000118	MICALL1	protein_coding
ENSSSCG00000000119	EIF3L	protein_coding
ENSSSCG00000000120	ANKRD54	protein_coding
ENSSSCG00000000121	GALR3	protein_coding
ENSSSCG00000000130	CYTH4	protein_coding
ENSSSCG00000000131	ELFN2	protein_coding
ENSSSCG00000000132	TEX33	protein_coding
ENSSSCG00000000133	TST	protein_coding
ENSSSCG00000000135	KCTD17	protein_coding
ENSSSCG00000000136	CSF2RB	protein_coding
ENSSSCG00000000137	NCF4	protein_coding
ENSSSCG00000000138	PVALB	protein_coding
ENSSSCG00000000139	IFT27	protein_coding
ENSSSCG00000000141	EIF3D	protein_coding
ENSSSCG00000000142	FOXRED2	protein_coding
ENSSSCG00000000144	NULL	protein_coding
ENSSSCG00000000145	MYH9	protein_coding
ENSSSCG00000000146	MYH11	protein_coding
ENSSSCG00000000148	NULL	protein_coding
ENSSSCG00000000151	NULL	protein_coding
ENSSSCG00000000152	RBFOX2	protein_coding
ENSSSCG00000000156	FBXO7	protein_coding
ENSSSCG00000000157	BPIFC	protein_coding
ENSSSCG00000000158	RTCB	protein_coding
ENSSSCG00000000159	ASCL4	protein_coding
ENSSSCG00000000160	PRDM4	protein_coding
ENSSSCG00000000161	PWP1	protein_coding
ENSSSCG00000000162	BTBD11	protein_coding
ENSSSCG00000000164	CRY1	protein_coding
ENSSSCG00000000167	RIC8B	protein_coding
ENSSSCG00000000169	POLR3B	protein_coding
ENSSSCG00000000171	CKAP4	protein_coding
ENSSSCG00000000174	TEX49	protein_coding
ENSSSCG00000000175	ADCY6	protein_coding
ENSSSCG00000000176	DDX23	protein_coding
ENSSSCG00000000179	CCDC65	protein_coding
ENSSSCG00000000180	FKBP11	protein_coding
ENSSSCG00000000182	WNT10B	protein_coding
ENSSSCG00000000183	WNT1	protein_coding
ENSSSCG00000000184	DDN	protein_coding
ENSSSCG00000000185	NULL	protein_coding
ENSSSCG00000000186	RHEBL1	protein_coding
ENSSSCG00000000188	DHH	protein_coding
ENSSSCG00000000189	LMBR1L	protein_coding
ENSSSCG00000000190	TUBA1B	protein_coding
ENSSSCG00000000191	NULL	protein_coding
ENSSSCG00000000194	TUBA1C	protein_coding
ENSSSCG00000000195	PRPH	protein_coding
ENSSSCG00000000197	C1QL4	protein_coding
ENSSSCG00000000198	DNAJC22	protein_coding
ENSSSCG00000000199	NULL	protein_coding
ENSSSCG00000000202	MCRS1	protein_coding
ENSSSCG00000000203	KCNH3	protein_coding
ENSSSCG00000000204	PRPF40B	protein_coding
ENSSSCG00000000205	FAM186B	protein_coding
ENSSSCG00000000206	FAIM2	protein_coding
ENSSSCG00000000207	NULL	protein_coding
ENSSSCG00000000209	NCKAP5L	protein_coding
ENSSSCG00000000211	AQP5	protein_coding
ENSSSCG00000000212	AQP6	protein_coding
ENSSSCG00000000214	GPD1	protein_coding
ENSSSCG00000000215	SMARCD1	protein_coding
ENSSSCG00000000216	ASIC1	protein_coding
ENSSSCG00000000217	NULL	protein_coding
ENSSSCG00000000220	NULL	protein_coding
ENSSSCG00000000223	BIN2	protein_coding
ENSSSCG00000000228	SCN8A	protein_coding
ENSSSCG00000000231	ANKRD33	protein_coding
ENSSSCG00000000232	ACVRL1	protein_coding
ENSSSCG00000000233	ACVR1B	protein_coding
ENSSSCG00000000234	GRASP	protein_coding
ENSSSCG00000000235	KRT82	protein_coding
ENSSSCG00000000236	KRT75	protein_coding
ENSSSCG00000000238	NULL	protein_coding
ENSSSCG00000000239	NULL	protein_coding
ENSSSCG00000000240	KRT85	protein_coding
ENSSSCG00000000241	KRT84	protein_coding
ENSSSCG00000000245	NULL	protein_coding
ENSSSCG00000000247	NULL	protein_coding
ENSSSCG00000000248	KRT5	protein_coding
ENSSSCG00000000249	KRT72	protein_coding
ENSSSCG00000000250	KRT73	protein_coding
