celltype	marker	expression	gene_name	comment	ensg_id	gene_description
basophil	CD4	-	CD4		ENSG00000010610	CD4 molecule
classical monocyte	CD4	-	CD4		ENSG00000010610	CD4 molecule
eosinophil	CD4	-	CD4		ENSG00000010610	CD4 molecule
gdTCR	CD4	-	CD4		ENSG00000010610	CD4 molecule
intermediate monocyte	CD4	-	CD4		ENSG00000010610	CD4 molecule
MAIT T-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
myeloid DC	CD4	-	CD4		ENSG00000010610	CD4 molecule
memory B-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
memory CD4 T-cell	CD4	+	CD4		ENSG00000010610	CD4 molecule
memory CD8 T-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
naive B-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
naive CD4 T-cell	CD4	+	CD4		ENSG00000010610	CD4 molecule
naive CD8 T-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
neutrophil	CD4	-	CD4		ENSG00000010610	CD4 molecule
NK-cell	CD4	-	CD4		ENSG00000010610	CD4 molecule
non-classical monocyte	CD4	-	CD4		ENSG00000010610	CD4 molecule
plasmacytoid DC	CD4	-	CD4		ENSG00000010610	CD4 molecule
T-reg	CD4	+	CD4		ENSG00000010610	CD4 molecule
basophil	CD8	-	CD8A		ENSG00000153563	CD8a molecule
basophil	CD8	-	CD8B		ENSG00000172116	CD8b molecule
basophil	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
classical monocyte	CD8	-	CD8A		ENSG00000153563	CD8a molecule
classical monocyte	CD8	-	CD8B		ENSG00000172116	CD8b molecule
classical monocyte	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
eosinophil	CD8	-	CD8A		ENSG00000153563	CD8a molecule
eosinophil	CD8	-	CD8B		ENSG00000172116	CD8b molecule
eosinophil	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
gdTCR	CD8	-	CD8A		ENSG00000153563	CD8a molecule
gdTCR	CD8	-	CD8B		ENSG00000172116	CD8b molecule
gdTCR	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
intermediate monocyte	CD8	-	CD8A		ENSG00000153563	CD8a molecule
intermediate monocyte	CD8	-	CD8B		ENSG00000172116	CD8b molecule
intermediate monocyte	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
MAIT T-cell	CD8	-	CD8A		ENSG00000153563	CD8a molecule
MAIT T-cell	CD8	-	CD8B		ENSG00000172116	CD8b molecule
MAIT T-cell	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
myeloid DC	CD8	-	CD8A		ENSG00000153563	CD8a molecule
myeloid DC	CD8	-	CD8B		ENSG00000172116	CD8b molecule
myeloid DC	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
memory B-cell	CD8	-	CD8A		ENSG00000153563	CD8a molecule
memory B-cell	CD8	-	CD8B		ENSG00000172116	CD8b molecule
memory B-cell	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
memory CD4 T-cell	CD8	-	CD8A		ENSG00000153563	CD8a molecule
memory CD4 T-cell	CD8	-	CD8B		ENSG00000172116	CD8b molecule
memory CD4 T-cell	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
memory CD8 T-cell	CD8	+	CD8A		ENSG00000153563	CD8a molecule
memory CD8 T-cell	CD8	+	CD8B		ENSG00000172116	CD8b molecule
memory CD8 T-cell	CD8	+	CD8B2		ENSG00000254126	CD8b2 molecule
naive B-cell	CD8	-	CD8A		ENSG00000153563	CD8a molecule
naive B-cell	CD8	-	CD8B		ENSG00000172116	CD8b molecule
naive B-cell	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
naive CD4 T-cell	CD8	-	CD8A		ENSG00000153563	CD8a molecule
naive CD4 T-cell	CD8	-	CD8B		ENSG00000172116	CD8b molecule
naive CD4 T-cell	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
naive CD8 T-cell	CD8	+	CD8A		ENSG00000153563	CD8a molecule
naive CD8 T-cell	CD8	+	CD8B		ENSG00000172116	CD8b molecule
naive CD8 T-cell	CD8	+	CD8B2		ENSG00000254126	CD8b2 molecule
neutrophil	CD8	-	CD8A		ENSG00000153563	CD8a molecule
neutrophil	CD8	-	CD8B		ENSG00000172116	CD8b molecule
neutrophil	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
NK-cell	CD8	-	CD8A		ENSG00000153563	CD8a molecule
NK-cell	CD8	-	CD8B		ENSG00000172116	CD8b molecule
NK-cell	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
non-classical monocyte	CD8	-	CD8A		ENSG00000153563	CD8a molecule
non-classical monocyte	CD8	-	CD8B		ENSG00000172116	CD8b molecule
non-classical monocyte	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
plasmacytoid DC	CD8	-	CD8A		ENSG00000153563	CD8a molecule
plasmacytoid DC	CD8	-	CD8B		ENSG00000172116	CD8b molecule
plasmacytoid DC	CD8	-	CD8B2		ENSG00000254126	CD8b2 molecule
T-reg	CD8	NA	CD8A		ENSG00000153563	CD8a molecule
T-reg	CD8	NA	CD8B		ENSG00000172116	CD8b molecule
T-reg	CD8	NA	CD8B2		ENSG00000254126	CD8b2 molecule
basophil	CD11c	-	ITGAX		ENSG00000140678	integrin subunit alpha X
classical monocyte	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
eosinophil	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
gdTCR	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
intermediate monocyte	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
MAIT T-cell	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
myeloid DC	CD11c	+	ITGAX		ENSG00000140678	integrin subunit alpha X
memory B-cell	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
memory CD4 T-cell	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
memory CD8 T-cell	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
naive B-cell	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
naive CD4 T-cell	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
naive CD8 T-cell	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
neutrophil	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
NK-cell	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
non-classical monocyte	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
plasmacytoid DC	CD11c	-	ITGAX		ENSG00000140678	integrin subunit alpha X
T-reg	CD11c	NA	ITGAX		ENSG00000140678	integrin subunit alpha X
basophil	CD14	-	CD14		ENSG00000170458	CD14 molecule
classical monocyte	CD14	high	CD14		ENSG00000170458	CD14 molecule
eosinophil	CD14	-	CD14		ENSG00000170458	CD14 molecule
gdTCR	CD14	-	CD14		ENSG00000170458	CD14 molecule
intermediate monocyte	CD14	high	CD14		ENSG00000170458	CD14 molecule
MAIT T-cell	CD14	-	CD14		ENSG00000170458	CD14 molecule
myeloid DC	CD14	low	CD14		ENSG00000170458	CD14 molecule
memory B-cell	CD14	-	CD14		ENSG00000170458	CD14 molecule
memory CD4 T-cell	CD14	-	CD14		ENSG00000170458	CD14 molecule
memory CD8 T-cell	CD14	-	CD14		ENSG00000170458	CD14 molecule
naive B-cell	CD14	-	CD14		ENSG00000170458	CD14 molecule
naive CD4 T-cell	CD14	-	CD14		ENSG00000170458	CD14 molecule
naive CD8 T-cell	CD14	-	CD14		ENSG00000170458	CD14 molecule
neutrophil	CD14	-	CD14		ENSG00000170458	CD14 molecule
NK-cell	CD14	-	CD14		ENSG00000170458	CD14 molecule
non-classical monocyte	CD14	low	CD14		ENSG00000170458	CD14 molecule
plasmacytoid DC	CD14	-	CD14		ENSG00000170458	CD14 molecule
T-reg	CD14	NA	CD14		ENSG00000170458	CD14 molecule
basophil	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
basophil	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
classical monocyte	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
classical monocyte	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
eosinophil	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
eosinophil	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
gdTCR	CD16	NA	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
gdTCR	CD16	NA	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
intermediate monocyte	CD16	high	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
intermediate monocyte	CD16	high	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
MAIT T-cell	CD16	NA	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
MAIT T-cell	CD16	NA	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
myeloid DC	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
myeloid DC	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
memory B-cell	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
memory B-cell	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
memory CD4 T-cell	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
memory CD4 T-cell	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
memory CD8 T-cell	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
memory CD8 T-cell	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
naive B-cell	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
naive B-cell	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
naive CD4 T-cell	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
naive CD4 T-cell	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
naive CD8 T-cell	CD16	-	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
naive CD8 T-cell	CD16	-	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
neutrophil	CD16	+	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
neutrophil	CD16	+	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
NK-cell	CD16	NA	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
NK-cell	CD16	NA	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
non-classical monocyte	CD16	high	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
non-classical monocyte	CD16	high	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
plasmacytoid DC	CD16	NA	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
plasmacytoid DC	CD16	NA	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
T-reg	CD16	NA	FCGR3A		ENSG00000203747	Fc fragment of IgG receptor IIIa
T-reg	CD16	NA	FCGR3B		ENSG00000162747	Fc fragment of IgG receptor IIIb
basophil	CD19	-	CD19		ENSG00000177455	CD19 molecule
classical monocyte	CD19	-	CD19		ENSG00000177455	CD19 molecule
eosinophil	CD19	-	CD19		ENSG00000177455	CD19 molecule
gdTCR	CD19	-	CD19		ENSG00000177455	CD19 molecule
intermediate monocyte	CD19	-	CD19		ENSG00000177455	CD19 molecule
MAIT T-cell	CD19	-	CD19		ENSG00000177455	CD19 molecule
myeloid DC	CD19	-	CD19		ENSG00000177455	CD19 molecule
memory B-cell	CD19	+	CD19		ENSG00000177455	CD19 molecule
memory CD4 T-cell	CD19	-	CD19		ENSG00000177455	CD19 molecule
memory CD8 T-cell	CD19	-	CD19		ENSG00000177455	CD19 molecule
naive B-cell	CD19	+	CD19		ENSG00000177455	CD19 molecule
naive CD4 T-cell	CD19	-	CD19		ENSG00000177455	CD19 molecule
naive CD8 T-cell	CD19	-	CD19		ENSG00000177455	CD19 molecule
neutrophil	CD19	-	CD19		ENSG00000177455	CD19 molecule
NK-cell	CD19	-	CD19		ENSG00000177455	CD19 molecule
non-classical monocyte	CD19	-	CD19		ENSG00000177455	CD19 molecule
plasmacytoid DC	CD19	-	CD19		ENSG00000177455	CD19 molecule
T-reg	CD19	NA	CD19		ENSG00000177455	CD19 molecule
basophil	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
classical monocyte	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
eosinophil	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
gdTCR	CD20	NA	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
intermediate monocyte	CD20	-	MS4A1		ENSG00000156738	membrane spanning 4-domains A1
