celltype	marker	expression	gene_name	comment	ensg_id	gene_description
T-reg	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
basophil	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
classical monocyte	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
eosinophil	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
gdTCR	CD56	NA	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
intermediate monocyte	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
MAIT T-cell	CD56	NA	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
myeloid DC	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
memory B-cell	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
memory CD4 T-cell	CD56	NA	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
memory CD8 T-cell	CD56	NA	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
naive B-cell	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
naive CD4 T-cell	CD56	NA	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
naive CD8 T-cell	CD56	NA	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
neutrophil	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
NK-cell	CD56	+	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
non-classical monocyte	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
plasmacytoid DC	CD56	-	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
T-reg	CD56	NA	NCAM1		ENSG00000149294	neural cell adhesion molecule 1
basophil	CD123	+	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
classical monocyte	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
eosinophil	CD123	low	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
gdTCR	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
intermediate monocyte	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
MAIT T-cell	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
myeloid DC	CD123	-	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
memory B-cell	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
memory CD4 T-cell	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
memory CD8 T-cell	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
naive B-cell	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
naive CD4 T-cell	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
naive CD8 T-cell	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
neutrophil	CD123	-	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
NK-cell	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
non-classical monocyte	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
plasmacytoid DC	CD123	+	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
T-reg	CD123	NA	IL3RA		ENSG00000185291	interleukin 3 receptor subunit alpha
basophil	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
classical monocyte	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
eosinophil	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
gdTCR	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
intermediate monocyte	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
MAIT T-cell	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
myeloid DC	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
memory B-cell	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
memory CD4 T-cell	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
memory CD8 T-cell	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
naive B-cell	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
naive CD4 T-cell	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
naive CD8 T-cell	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
neutrophil	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
NK-cell	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
non-classical monocyte	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
plasmacytoid DC	CD127	NA	IL7R		ENSG00000168685	interleukin 7 receptor
T-reg	CD127	low	IL7R		ENSG00000168685	interleukin 7 receptor
basophil	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
classical monocyte	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
eosinophil	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
gdTCR	CD161	low	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
intermediate monocyte	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
MAIT T-cell	CD161	high	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
myeloid DC	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
memory B-cell	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
memory CD4 T-cell	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
memory CD8 T-cell	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
naive B-cell	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
naive CD4 T-cell	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
naive CD8 T-cell	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
neutrophil	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
NK-cell	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
non-classical monocyte	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
plasmacytoid DC	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
T-reg	CD161	NA	KLRB1		ENSG00000111796	killer cell lectin like receptor B1
basophil	CD193	+	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
classical monocyte	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
eosinophil	CD193	+	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
gdTCR	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
intermediate monocyte	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
MAIT T-cell	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
myeloid DC	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
memory B-cell	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
memory CD4 T-cell	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
memory CD8 T-cell	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
naive B-cell	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
naive CD4 T-cell	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
naive CD8 T-cell	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
neutrophil	CD193	low	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
NK-cell	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
non-classical monocyte	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
plasmacytoid DC	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
T-reg	CD193	NA	CCR3		ENSG00000183625	C-C motif chemokine receptor 3
basophil	CD203	+	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
classical monocyte	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
eosinophil	CD203	+	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
gdTCR	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
intermediate monocyte	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
MAIT T-cell	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
myeloid DC	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
memory B-cell	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
memory CD4 T-cell	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
memory CD8 T-cell	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
naive B-cell	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
naive CD4 T-cell	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
naive CD8 T-cell	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
neutrophil	CD203	low	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
NK-cell	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
non-classical monocyte	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
plasmacytoid DC	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
T-reg	CD203	NA	ENPP3		ENSG00000154269	ectonucleotide pyrophosphatase/phosphodiesterase 3
basophil	gdTCR	NA	NA	NA	NA	NA
classical monocyte	gdTCR	NA	NA	NA	NA	NA
eosinophil	gdTCR	NA	NA	NA	NA	NA
gdTCR	gdTCR	+	NA	NA	NA	NA
intermediate monocyte	gdTCR	NA	NA	NA	NA	NA
MAIT T-cell	gdTCR	-	NA	NA	NA	NA
myeloid DC	gdTCR	NA	NA	NA	NA	NA
memory B-cell	gdTCR	NA	NA	NA	NA	NA
memory CD4 T-cell	gdTCR	NA	NA	NA	NA	NA
memory CD8 T-cell	gdTCR	NA	NA	NA	NA	NA
naive B-cell	gdTCR	NA	NA	NA	NA	NA
naive CD4 T-cell	gdTCR	NA	NA	NA	NA	NA
naive CD8 T-cell	gdTCR	NA	NA	NA	NA	NA
neutrophil	gdTCR	NA	NA	NA	NA	NA
NK-cell	gdTCR	NA	NA	NA	NA	NA
non-classical monocyte	gdTCR	NA	NA	NA	NA	NA
plasmacytoid DC	gdTCR	NA	NA	NA	NA	NA
T-reg	gdTCR	NA	NA	NA	NA	NA
basophil	HLA-DR	-	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
basophil	HLA-DR	-	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
basophil	HLA-DR	-	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
classical monocyte	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
classical monocyte	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
classical monocyte	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
eosinophil	HLA-DR	low	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
eosinophil	HLA-DR	low	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
eosinophil	HLA-DR	low	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
gdTCR	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
gdTCR	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
gdTCR	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
intermediate monocyte	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
intermediate monocyte	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
intermediate monocyte	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
MAIT T-cell	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
MAIT T-cell	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
MAIT T-cell	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
myeloid DC	HLA-DR	high	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
myeloid DC	HLA-DR	high	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
myeloid DC	HLA-DR	high	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
memory B-cell	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
memory B-cell	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
memory B-cell	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
memory CD4 T-cell	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
memory CD4 T-cell	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
memory CD4 T-cell	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
memory CD8 T-cell	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
memory CD8 T-cell	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
memory CD8 T-cell	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
naive B-cell	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
naive B-cell	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
naive B-cell	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
naive CD4 T-cell	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
naive CD4 T-cell	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
naive CD4 T-cell	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
naive CD8 T-cell	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
naive CD8 T-cell	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
naive CD8 T-cell	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
neutrophil	HLA-DR	low	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
neutrophil	HLA-DR	low	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
neutrophil	HLA-DR	low	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
NK-cell	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
NK-cell	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
NK-cell	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
non-classical monocyte	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
non-classical monocyte	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
non-classical monocyte	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
plasmacytoid DC	HLA-DR	+	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
plasmacytoid DC	HLA-DR	+	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
plasmacytoid DC	HLA-DR	+	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
T-reg	HLA-DR	NA	HLA-DRA		ENSG00000204287	"major histocompatibility complex, class II, DR alpha"
T-reg	HLA-DR	NA	HLA-DRB1		ENSG00000196126	"major histocompatibility complex, class II, DR beta 1"
T-reg	HLA-DR	NA	HLA-DRB5		ENSG00000198502	"major histocompatibility complex, class II, DR beta 5"
basophil	TCR Va7.2	NA	NA	NA	NA	NA
classical monocyte	TCR Va7.2	NA	NA	NA	NA	NA
eosinophil	TCR Va7.2	NA	NA	NA	NA	NA
gdTCR	TCR Va7.2	-	NA	NA	NA	NA
intermediate monocyte	TCR Va7.2	NA	NA	NA	NA	NA
MAIT T-cell	TCR Va7.2	+	NA	NA	NA	NA
myeloid DC	TCR Va7.2	NA	NA	NA	NA	NA
memory B-cell	TCR Va7.2	NA	NA	NA	NA	NA
memory CD4 T-cell	TCR Va7.2	NA	NA	NA	NA	NA
memory CD8 T-cell	TCR Va7.2	NA	NA	NA	NA	NA
naive B-cell	TCR Va7.2	NA	NA	NA	NA	NA
naive CD4 T-cell	TCR Va7.2	NA	NA	NA	NA	NA
naive CD8 T-cell	TCR Va7.2	NA	NA	NA	NA	NA
neutrophil	TCR Va7.2	NA	NA	NA	NA	NA
NK-cell	TCR Va7.2	NA	NA	NA	NA	NA
non-classical monocyte	TCR Va7.2	NA	NA	NA	NA	NA
plasmacytoid DC	TCR Va7.2	NA	NA	NA	NA	NA
T-reg	TCR Va7.2	NA	NA	NA	NA	NA
